lat,lon,CH4
27.06224,112.4609,2273.967
27.06261,112.4607,2273.967
27.0627,112.4606,2297.144
27.06295,112.4605,2297.144
27.06328,112.4604,2297.144
27.06363,112.4602,2341.418
27.06389,112.4601,2341.418
27.06409,112.46,2341.418
27.06428,112.4599,2395.888
27.06464,112.4597,2395.888
27.06473,112.4597,2451.302
27.06522,112.4594,2451.302
27.06539,112.4593,2451.302
27.06565,112.4592,2494.367
27.06596,112.4591,2494.367
27.06618,112.459,2494.367
27.06645,112.4588,2519.813
27.06681,112.4587,2519.813
27.06695,112.4586,2526.622
27.06747,112.4584,2526.622
27.0677,112.4583,2526.622
27.06799,112.4582,2517.146
27.06842,112.458,2517.146
27.06856,112.458,2500.555
27.0688,112.4579,2500.555
27.06924,112.4578,2500.555
27.06964,112.4576,2479.34
27.06994,112.4575,2479.34
27.07019,112.4575,2479.34
27.0705,112.4574,2457.294
27.07091,112.4573,2457.294
27.07106,112.4572,2438.576
27.07167,112.4571,2438.576
27.07192,112.457,2438.576
27.07222,112.457,2422.547
27.07252,112.4569,2422.547
27.07271,112.4569,2422.547
27.07301,112.4568,2412.172
27.07344,112.4567,2412.172
27.07383,112.4567,2404.552
27.0744,112.4566,2404.552
27.07469,112.4566,2401.581
27.07507,112.4565,2401.581
27.07517,112.4565,2395.477
27.07546,112.4565,2395.477
27.07584,112.4565,2395.477
27.07627,112.4564,2390.256
27.07656,112.4564,2390.256
27.07685,112.4563,2390.256
27.07709,112.4563,2386.805
27.07752,112.4563,2386.805
27.07761,112.4563,2379.79
27.07819,112.4562,2379.79
27.07843,112.4562,2379.79
27.07872,112.4562,2377.278
27.07902,112.4561,2377.278
27.07921,112.4561,2377.278
27.07951,112.4561,2375.635
27.08002,112.456,2375.635
27.08043,112.456,2373.216
27.08074,112.4559,2373.216
27.08101,112.4559,2373.216
27.08134,112.4559,2367.372
27.08178,112.4559,2367.372
27.08189,112.4559,2360.545
27.08223,112.4558,2360.545
27.08273,112.4558,2360.545
27.08317,112.4557,2351.957
27.08355,112.4557,2351.957
27.08383,112.4556,2351.957
27.08415,112.4556,2341.377
27.08459,112.4555,2341.377
27.0847,112.4555,2330.367
27.08537,112.4555,2330.367
27.08564,112.4554,2330.367
27.08598,112.4554,2325.332
27.08647,112.4553,2325.332
27.08663,112.4553,2318.518
27.08695,112.4553,2318.518
27.08738,112.4552,2318.518
27.08779,112.4552,2313.51
27.0881,112.4552,2313.51
27.08835,112.4551,2313.51
27.08865,112.4551,2308.645
27.08905,112.4551,2308.645
27.08915,112.4551,2307.186
27.08981,112.455,2307.186
27.09007,112.455,2307.186
27.09037,112.4549,2303.316
27.09068,112.4549,2303.316
27.09094,112.4549,2303.316
27.0912,112.4549,2299.806
27.09166,112.4548,2299.806
27.09176,112.4548,2296.255
27.09236,112.4547,2296.255
27.09266,112.4547,2296.255
27.09296,112.4547,2292.206
27.09346,112.4546,2292.206
27.09377,112.4546,2289.829
27.09418,112.4546,2289.829
27.09464,112.4545,2285.164
27.09496,112.4545,2285.164
27.09522,112.4545,2285.164
27.09558,112.4545,2283.818
27.09598,112.4545,2283.818
27.09608,112.4545,2282.737
27.09666,112.4545,2282.737
27.0969,112.4545,2282.737
27.09717,112.4545,2280.273
27.09745,112.4545,2280.273
27.09764,112.4545,2280.273
27.09791,112.4545,2279.216
27.09836,112.4546,2279.216
27.09845,112.4546,2277.614
27.09897,112.4546,2277.614
27.09918,112.4546,2277.614
