CH4,C2H6
2.48,24.625
2.468,23.868
2.484,24.744
2.416,22.33
2.319,18.55
2.304,17.872
2.328,18.886
2.298,17.828
2.273,16.526
2.29,17.595
2.285,17.19
2.292,17.498
2.271,16.221
2.271,16.555
2.29,17.613
2.307,18.006
2.306,17.563
2.325,18.858
2.348,19.491
2.319,18.627
2.293,17.672
2.293,17.68
2.288,17.335
2.287,17.192
2.299,17.745
2.299,17.254
2.279,17.078
2.265,16.446
2.264,16.384
2.267,16.423
2.275,17.088
2.297,17.735
2.305,18.04
2.376,20.588
2.489,25.026
2.521,26.257
2.468,24.221
2.43,22.582
2.433,22.969
2.491,24.773
2.508,25.985
2.45,23.485
2.43,22.466
2.548,27.069
2.51,25.638
2.56,27.497
2.641,30.322
2.677,32.18
2.666,31.483
2.657,31.123
2.647,31.008
2.548,27.054
2.379,20.572
2.258,16.325
2.194,13.683
2.199,13.899
2.212,14.654
2.22,15.101
2.213,14.62
2.2,14.079
2.19,13.668
2.167,13.115
2.157,12.452
2.168,12.891
2.175,13.192
2.247,15.64
2.315,18.211
2.298,17.911
2.226,14.852
2.161,12.74
2.197,13.777
2.342,19.368
2.361,20.064
2.25,15.962
2.218,14.476
2.202,14.184
2.161,12.708
2.139,12.033
2.154,12.741
2.179,13.387
2.203,14.334
2.204,14.071
2.162,12.279
2.125,11.388
2.105,10.439
2.101,10.45
2.098,10.443
2.098,9.88
2.124,11.131
2.122,11.538
2.139,11.806
2.154,12.381
2.134,11.553
2.144,11.941
2.296,17.919
2.439,23.067
2.382,20.946
2.272,16.563
2.179,13.469
2.14,11.961
2.134,11.522
2.16,12.35
2.176,13.077
2.182,13.287
2.183,13.464
2.18,12.922
2.195,13.885
2.182,13.375
2.199,13.632
2.25,15.902
2.255,15.89
2.22,14.603
2.227,14.741
2.246,15.81
2.224,14.416
2.196,13.777
2.174,12.776
2.164,12.577
2.15,12.043
2.153,12.042
2.14,11.658
2.12,10.652
2.115,10.614
2.113,10.813
2.108,10.326
2.104,10.155
2.104,10.416
2.111,10.589
2.126,11.634
2.128,11.846
2.135,11.668
2.142,11.879
2.155,12.275
2.162,12.823
2.163,12.589
2.158,12.383
2.142,11.919
2.138,11.698
2.135,11.754
2.132,11.386
2.128,11.297
2.125,11.06
2.125,11.5
2.124,11.316
2.124,11.355
2.122,10.853
2.12,11.028
2.118,10.735
2.118,10.884
2.112,10.97
2.109,10.502
2.109,10.306
2.105,10.579
2.099,10.36
2.099,10.309
2.101,10.248
2.105,10.693
2.108,10.364
2.105,10.443
2.103,10.2
2.102,10.264
2.105,10.423
2.114,10.485
2.126,11.244
2.269,16.453
2.372,20.378
2.475,24.325
2.579,27.777
2.622,30.054
2.597,28.69
2.635,30.431
2.681,32.244
2.66,31.32
2.552,27.157
2.426,22.425
2.395,21.097
2.392,21.153
2.357,19.692
2.337,19.078
2.337,19.082
2.337,19.14
2.327,18.585
2.312,18.285
2.332,18.776
2.389,20.875
